alert_id,index,anomaly_score,severity,contributing_models,num_models_agree
ALERT_029782,29782,0.9999720968054124,critical,lstm_autoencoder,1
ALERT_195755,195755,0.9998982375847332,critical,lstm_autoencoder,1
ALERT_319188,319188,0.9998361945660988,critical,lstm_autoencoder,1
ALERT_170993,170993,0.9998107924742962,critical,lstm_autoencoder,1
ALERT_040420,40420,0.9997719172900004,critical,lstm_autoencoder,1
ALERT_092580,92580,0.9995873177577655,critical,lstm_autoencoder,1
ALERT_315691,315691,0.9995661932257974,critical,lstm_autoencoder,1
ALERT_370734,370734,0.9994716620616254,critical,"isolation_forest, lstm_autoencoder",2
ALERT_169922,169922,0.9994452915348556,critical,"isolation_forest, lstm_autoencoder",2
ALERT_153893,153893,0.9993341264810032,critical,lstm_autoencoder,1
ALERT_365969,365969,0.9992628148507394,critical,lstm_autoencoder,1
ALERT_356579,356579,0.9990116896506788,critical,lstm_autoencoder,1
ALERT_293361,293361,0.9989847633973687,critical,lstm_autoencoder,1
ALERT_335765,335765,0.998934443417318,critical,lstm_autoencoder,1
ALERT_231690,231690,0.998770603192576,critical,lstm_autoencoder,1
ALERT_145814,145814,0.9987662174131802,critical,lstm_autoencoder,1
ALERT_124610,124610,0.9987229981859976,critical,lstm_autoencoder,1
ALERT_194669,194669,0.9986581036752904,critical,lstm_autoencoder,1
ALERT_164738,164738,0.998616925903532,critical,lstm_autoencoder,1
ALERT_173104,173104,0.9986034943799332,critical,lstm_autoencoder,1
ALERT_211504,211504,0.9985562551114632,critical,lstm_autoencoder,1
ALERT_133765,133765,0.9985461654306892,critical,lstm_autoencoder,1
ALERT_144363,144363,0.9983593338648136,critical,"isolation_forest, lstm_autoencoder",2
ALERT_218460,218460,0.9983090486214772,critical,lstm_autoencoder,1
ALERT_188361,188361,0.9980589897338932,critical,lstm_autoencoder,1
ALERT_031106,31106,0.9980409971084092,critical,lstm_autoencoder,1
ALERT_074938,74938,0.9980280459520836,critical,lstm_autoencoder,1
ALERT_052209,52209,0.997865078408438,critical,lstm_autoencoder,1
ALERT_022949,22949,0.9977862318170396,critical,lstm_autoencoder,1
ALERT_242132,242132,0.9977356910026656,critical,lstm_autoencoder,1
ALERT_338489,338489,0.9976829992028472,critical,lstm_autoencoder,1
ALERT_042206,42206,0.9974502882864972,critical,lstm_autoencoder,1
ALERT_089884,89884,0.9974371543814782,critical,lstm_autoencoder,1
ALERT_340786,340786,0.9973260803903868,critical,lstm_autoencoder,1
ALERT_376961,376961,0.9972999931028298,critical,lstm_autoencoder,1
ALERT_035993,35993,0.9972168840643028,critical,lstm_autoencoder,1
ALERT_043728,43728,0.9971318378041524,critical,lstm_autoencoder,1
ALERT_320874,320874,0.9969057178797468,critical,lstm_autoencoder,1
ALERT_214373,214373,0.9968764918039652,critical,lstm_autoencoder,1
ALERT_028384,28384,0.9967764940253636,critical,lstm_autoencoder,1
ALERT_189499,189499,0.9967343315173276,critical,lstm_autoencoder,1
ALERT_083506,83506,0.9966793570362186,critical,"isolation_forest, lstm_autoencoder, deep_clustering",3
ALERT_064437,64437,0.9966372892629676,critical,lstm_autoencoder,1
ALERT_213646,213646,0.9965262172337588,critical,lstm_autoencoder,1
